time,temperature,humidity,humidex
2018/06/17 14:01:20,29.3,35.9%,31.9
2018/06/17 14:01:41,29.3,35.9%,31.9
2018/06/17 14:02:22,29.3,35.8%,31.9
2018/06/17 14:02:36,29.3,35.8%,31.9
2018/06/17 14:02:49,29.3,35.8%,31.9
2018/06/17 14:03:10,29.3,35.8%,31.9
2018/06/17 14:08:14,29.4,35.7%,32.0
2018/06/17 14:13:18,29.4,35.6%,32.0
2018/06/17 14:18:21,29.5,35.6%,32.1
2018/06/17 14:23:25,29.5,35.5%,32.1
2018/06/17 14:28:29,29.6,35.4%,32.2
2018/06/17 14:33:32,29.6,35.3%,32.2
2018/06/17 14:38:36,29.6,35.2%,32.2
2018/06/17 14:43:40,29.7,35.2%,32.3
2018/06/17 14:48:43,29.8,35.2%,32.5
2018/06/17 14:53:47,29.8,35.1%,32.5
2018/06/17 14:58:50,29.9,34.9%,32.6
2018/06/17 15:03:54,29.8,35.1%,32.5
2018/06/17 15:08:58,29.9,35.0%,32.6
2018/06/17 15:14:01,29.9,35.1%,32.6
2018/06/17 15:19:05,29.9,35.0%,32.6
2018/06/17 15:24:09,30.1,34.9%,32.8
2018/06/17 15:29:12,30.0,34.9%,32.7
2018/06/17 15:34:16,30.0,34.8%,32.7
2018/06/17 15:39:20,30.1,34.7%,32.8
2018/06/17 15:44:23,30.2,34.7%,32.9
2018/06/17 15:49:27,30.3,34.7%,33.1
2018/06/17 15:54:30,30.3,34.5%,33.0
2018/06/17 15:59:34,30.4,34.4%,33.2
2018/06/17 16:04:38,30.5,34.1%,33.2
2018/06/17 16:09:41,30.5,34.0%,33.2
2018/06/17 16:14:45,30.5,33.8%,33.2
2018/06/17 16:19:49,30.6,33.6%,33.3
2018/06/17 16:24:52,30.7,33.5%,33.4
2018/06/17 16:29:56,30.7,33.3%,33.3
2018/06/17 16:35:00,30.8,33.4%,33.5
2018/06/17 16:40:03,30.8,33.3%,33.5
2018/06/17 16:45:07,30.7,33.3%,33.3
2018/06/17 16:50:11,30.8,33.4%,33.5
2018/06/17 16:55:14,30.8,33.3%,33.5
2018/06/17 17:00:18,30.8,33.3%,33.5
